image_path,original_path,severity,response_label
data/processed/NORMAL SKIN/1.2.jpg,data/raw/NORMAL SKIN/1.2.jpg,Mild,0
data/processed/NORMAL SKIN/11.1.jpg,data/raw/NORMAL SKIN/11.1.jpg,Mild,0
data/processed/NORMAL SKIN/11.10.png,data/raw/NORMAL SKIN/11.10.png,Mild,0
data/processed/NORMAL SKIN/11.6.jpg,data/raw/NORMAL SKIN/11.6.jpg,Mild,0
data/processed/NORMAL SKIN/11.8.png,data/raw/NORMAL SKIN/11.8.png,Mild,0
data/processed/NORMAL SKIN/11.9.png,data/raw/NORMAL SKIN/11.9.png,Mild,0
data/processed/NORMAL SKIN/12.1.png,data/raw/NORMAL SKIN/12.1.png,Mild,0
data/processed/NORMAL SKIN/12.10.jpg,data/raw/NORMAL SKIN/12.10.jpg,Mild,0
data/processed/NORMAL SKIN/12.5.png,data/raw/NORMAL SKIN/12.5.png,Mild,0
data/processed/NORMAL SKIN/12.7.png,data/raw/NORMAL SKIN/12.7.png,Mild,0
data/processed/NORMAL SKIN/12.8.jpg,data/raw/NORMAL SKIN/12.8.jpg,Mild,0
data/processed/NORMAL SKIN/13.1.jpg,data/raw/NORMAL SKIN/13.1.jpg,Mild,0
data/processed/NORMAL SKIN/13.2.jpg,data/raw/NORMAL SKIN/13.2.jpg,Mild,0
data/processed/NORMAL SKIN/13.9.jpg,data/raw/NORMAL SKIN/13.9.jpg,Mild,0
data/processed/NORMAL SKIN/14.3.jpg,data/raw/NORMAL SKIN/14.3.jpg,Mild,0
data/processed/NORMAL SKIN/14.4.jpg,data/raw/NORMAL SKIN/14.4.jpg,Mild,0
data/processed/NORMAL SKIN/14.7.jpg,data/raw/NORMAL SKIN/14.7.jpg,Mild,0
data/processed/NORMAL SKIN/15.1.jpg,data/raw/NORMAL SKIN/15.1.jpg,Mild,0
data/processed/NORMAL SKIN/15.2.jpg,data/raw/NORMAL SKIN/15.2.jpg,Mild,0
data/processed/NORMAL SKIN/15.3.jpg,data/raw/NORMAL SKIN/15.3.jpg,Mild,0
data/processed/NORMAL SKIN/15.6.jpg,data/raw/NORMAL SKIN/15.6.jpg,Mild,0
data/processed/NORMAL SKIN/15.8.jpg,data/raw/NORMAL SKIN/15.8.jpg,Mild,0
data/processed/NORMAL SKIN/16.4.jpg,data/raw/NORMAL SKIN/16.4.jpg,Mild,0
data/processed/NORMAL SKIN/16.6.jpg,data/raw/NORMAL SKIN/16.6.jpg,Mild,0
data/processed/NORMAL SKIN/16.7.jpg,data/raw/NORMAL SKIN/16.7.jpg,Mild,0
data/processed/NORMAL SKIN/17.10.jpg,data/raw/NORMAL SKIN/17.10.jpg,Mild,0
data/processed/NORMAL SKIN/17.3.jpg,data/raw/NORMAL SKIN/17.3.jpg,Mild,0
data/processed/NORMAL SKIN/17.7.jpg,data/raw/NORMAL SKIN/17.7.jpg,Mild,0
data/processed/NORMAL SKIN/17.8.jpg,data/raw/NORMAL SKIN/17.8.jpg,Mild,0
data/processed/NORMAL SKIN/18.10.png,data/raw/NORMAL SKIN/18.10.png,Mild,0
data/processed/NORMAL SKIN/18.5.jpg,data/raw/NORMAL SKIN/18.5.jpg,Mild,0
data/processed/NORMAL SKIN/18.6.jpg,data/raw/NORMAL SKIN/18.6.jpg,Mild,0
data/processed/NORMAL SKIN/19.1.png,data/raw/NORMAL SKIN/19.1.png,Mild,0
data/processed/NORMAL SKIN/19.10.jpg,data/raw/NORMAL SKIN/19.10.jpg,Mild,0
data/processed/NORMAL SKIN/2.4.jpg,data/raw/NORMAL SKIN/2.4.jpg,Mild,0
data/processed/NORMAL SKIN/2.8.jpg,data/raw/NORMAL SKIN/2.8.jpg,Mild,0
data/processed/NORMAL SKIN/2.9.jpg,data/raw/NORMAL SKIN/2.9.jpg,Mild,0
data/processed/NORMAL SKIN/20.1.jpg,data/raw/NORMAL SKIN/20.1.jpg,Mild,0
data/processed/NORMAL SKIN/20.2.jpg,data/raw/NORMAL SKIN/20.2.jpg,Mild,0
data/processed/NORMAL SKIN/20.3.jpg,data/raw/NORMAL SKIN/20.3.jpg,Mild,0
data/processed/NORMAL SKIN/20.8.jpg,data/raw/NORMAL SKIN/20.8.jpg,Mild,0
data/processed/NORMAL SKIN/21.6.jpg,data/raw/NORMAL SKIN/21.6.jpg,Mild,0
data/processed/NORMAL SKIN/21.7.jpg,data/raw/NORMAL SKIN/21.7.jpg,Mild,0
data/processed/NORMAL SKIN/22.10.jpg,data/raw/NORMAL SKIN/22.10.jpg,Mild,0
